name,code,city
"Alexandria, LA",AEX,alexandria
"Baton Rouge, LA",BAT,baton-rouge
"Denham Springs, LA",ZZZ_DENHAMSPRINGSLA,denham-springs
"Houma, LA",HUM,houma
"Jennings, LA",KCWF,jennings
"Lafayette, LA",LFT,lafayette-la
"Lake Charles, LA",LCH,lake-charles
"Laplace, LA",LS57,laplace
"Monroe, LA",MLU,monroe-la
"Morgan City, LA",KPTN,morgan-city
"New Orleans, LA",MSY,new-orleans
"Rayville, LA",KMLU,rayville
"Reserve, LA",1L0,reserve
"Shreveport, LA",SHV,shreveport
"Slidell, LA",KNEW,slidell
"Houston, TX",HOU,houston
"Dallas, TX", DAL,dallas
"San Antonio, TX",SAT,san-antonio
"Austin, TX",AUS,austin
"Biloxi, MS",GPT,biloxi
